stop_id,stop_name,stop_lat,stop_lon,location_type
1510,Goodwood @ Airline/Old Woman's Hospital - W,30.442965,-91.090782,0
1511,Goodwood @ BR Water Company - W,30.442888,-91.093628,0
1512,Goodwood @ Connels Park - W,30.442839,-91.095634,0
1513,Goodwood @ Chevelle - W,30.44277,-91.098289,0
1514,East Airport @ Goodwood - W,30.442644,-91.101784,0
1515,Independence Blvd @ DMV - E,30.445339,-91.107666,0
1516,Independence Blvd @ Botanical Gardens - E,30.445415,-91.105537,0
1517,Lobdell @ Seven Oaks - S,30.439457,-91.110817,0
1518,Lobdell @ Lasalle - S,30.435286,-91.110847,0
1519,Lobdell @ Jefferson - S,30.433735,-91.110931,0
1520,Jefferson and Corporate - E,30.431238,-91.109718,0
1521,Corporate @ Jefferson/Town Center - W,30.430811,-91.111412,0
1522,Corporate @ Books A Million - W,30.430054,-91.115746,0
1523,Corporate @ Commerce - W,30.429276,-91.116989,0
1524,Corporate @ Town Center Apts - W,30.427975,-91.119186,0
1525,Corporate @ The Reserve at Cedar Lodge - W,30.42524,-91.122498,0
1526,Corporate @ Citiplace - W,30.425232,-91.1297,0
1527,Corporate @ Energy Dr - W,30.425097,-91.131699,0
1528,Corporate @ Park Plaza - W,30.425028,-91.13356,0
1529,College @ Bennington - S,30.421391,-91.140488,0
1530,College @ Concord - S,30.419024,-91.141655,0
1531,Lee @ Perkins/Poplar - S,30.415827,-91.143845,0
1532,Lee @ Mimosa - S,30.412321,-91.145943,0
1533,Lee @ Hyacinth - S,30.409834,-91.147614,0
1534,Lee @ Boone - S,30.398535,-91.155602,0
1535,Lee @ Lake After Hours - S,30.394524,-91.159279,0
1536,Lee @ Winn Dixie - S,30.39292,-91.160873,0
1537,Lee @ Burbank - S,30.391855,-91.161949,0
1538,Lee @ Etta - S,30.388994,-91.170166,0
1539,Brightside @ Ward - W,30.387722,-91.173241,0
1540,Brightside @ Circle K - W,30.388069,-91.179169,0
1541,Brightside @ Alvin Dark - W,30.388296,-91.181717,0
1543,Brightside @ Brightside View Shelter - E,30.388178,-91.181175,0
1544,Brightside @ Blox - E,30.387903,-91.178947,0
1545,Brightside @ Campus Crossing - E,30.387421,-91.175041,0
1546,Alvin Dark @ Sharlo Ave - N,30.389406,-91.181854,0
1547,Alvin Dark @ Establishment Apts - S,30.391943,-91.180977,0
1548,Alvin Dark @ Jay Hebert - N,30.395224,-91.180328,0
1558,Alvin Dark @ Jay Hebert - S,30.395496,-91.180466,0
1559,Alvin Dark @ Jim Taylor Dr - N,30.391638,-91.180878,0
1560,Alvin Dark @ Sharlo Ave - S,30.389515,-91.181923,0
1564,Brightside @ Campus Crossing - W,30.387506,-91.174797,0
1565,Lee @ Etta - N,30.388821,-91.170242,0
1566,Lee @ Burbank - N,30.392115,-91.16143,0
1567,Lee @ Lake After Hours - N,30.394466,-91.159019,0
1568,Lee @ Boone - N,30.398525,-91.155396,0
1569,Lee @ Place Duplantier Apts - N,30.400774,-91.153343,0
1570,Lee @ Hyacinth - N,30.409637,-91.147621,0
1571,Lee @ Sweet Briar - N,30.411295,-91.14653,0
1572,Lee @ Mimosa - N,30.412146,-91.145966,0
1573,Lee @ Tupelo - N,30.41477,-91.144348,0
1574,College @ Perkins/RR Tracks - N,30.417139,-91.1427,0
1575,College @ Dollar Tree Shelter - N,30.418962,-91.141426,0
1576,College @ Bennington - N,30.420708,-91.140541,0
1577,Corporate @ College - E,30.425224,-91.136414,0
1578,Corporate @ Energy Dr - E,30.42486,-91.132278,0
1579,Corporate @ Citiplace - E,30.424599,-91.127907,0
1580,Corporate @ Commerce - E,30.42927,-91.116547,0
1581,Corporate @ Jefferson/Town Center - E,30.430592,-91.111755,0
1582,Jefferson @ Lobdell - W,30.43277,-91.11039,0
1583,Lobdell @ Goodwood - N,30.442022,-91.110619,0
1584,Independence Blvd @ E. Airport - W,30.445726,-91.103035,0
